"rfid","dames","sires"
"933000120138550","72455_1","72391_1"
"933000320046556","73340_2","73337_2"
"933000320046403","73358_2","73354_2"
"933000320046419","73358_2","73354_2"
"933000320045943","72527_2","72623_1"
"933000120138364","72240_3","72265_1"
"933000320045825","73020_2","72789_1"
"933000320046797","72663_2","72668_1"
"933000320045807","73020_2","72789_1"
"933000320045935","72626_6","72660_1"
"933000320046728","72936_2","72803_1"
"933000320046788","72525_2","72534_5"
"933000320046413","73360_1","73358_1"
"933000320046732","72936_2","72803_1"
"933000320045940","72541_5","72689_1"
"933000120138365","72338_2","72411_2"
"933000320046297","72531_1","72543_5"
"933000120138361","72455_1","72391_1"
"933000120138367","72455_1","72391_1"
"933000320046785","72667_2","72527_1"
"933000120138380","72240_3","72265_1"
"933000320046637","73309_2","73347_2"
"933000320045808","73325_2","73342_2"
"933000320046795","73337_1","73332_1"
"933000120138540","72411_1","72341_1"
"933000320046278","72688_2","72530_1"
"933000320046554","73340_2","73337_2"
"933000320046562","72807_2","72935_1"
"933000320045801","72802_2","72784_1"
"933000320046162","72797_2","72795_1"
"933000320046287","72530_2","72540_5"
"933000320046402","73327_1","73325_1"
"933000320046039","72790_2","72805_1"
"933000120138536","72404_1","72409_2"
"933000320046285","72530_2","72540_5"
"933000320046557","72807_2","72935_1"
"933000320046031","72790_2","72805_1"
"933000320045806","72802_2","72784_1"
"933000320045979","73572_2","72772_3"
"933000320045886","72623_2","72632_1"
"933000320047050","73745_2","73704_1"
"933000320047008","73691_2","73723_1"
"933000320045912","73319_1","73317_1"
"933000320047347","74136_2","74208_1"
"933000320046265","72618_2","72525_1"
"933000320045899","72623_2","72632_1"
"933000320045901","72866_1","72772_3"
"933000320046252","72618_2","72525_1"
"933000320047007","74121_2","74196_1"
"933000320046821","73732_2","73686_1"
"933000320045888","72809_2","72785_1"
"933000320046839","73672_2","73697_1"
"933000320045887","72623_2","72632_1"
"933000320046274","72663_2","72668_1"
"933000320046072","72797_2","72795_1"
"933000320046266","72667_2","72527_1"
